Category,x,y,amount
chemical,6,17,0.299767594580742
chemical,7,17,0.271045712636783
chemical,8,17,0.236608178228537
chemical,9,17,0.202189135418469
chemical,10,17,0.17335889541819
chemical,11,17,0.154891297991336
chemical,12,17,0.150417034190272
chemical,13,17,0.162266442199757
chemical,14,17,0.19136750234177
chemical,15,17,0.237104601159467
chemical,16,17,0.297135544066037
chemical,17,17,0.367265870346373
chemical,18,17,0.441543171923469
chemical,19,17,0.512723021168615
chemical,20,17,0.573163422465131
chemical,21,17,0.616054656835138
chemical,22,17,0.636743067911672
chemical,23,17,0.633825392391195
chemical,24,17,0.609717268531607
chemical,25,17,0.570534613685071
chemical,26,17,0.52531596830369
chemical,27,17,0.484773989470279
chemical,28,17,0.459824563532683
chemical,29,17,0.460096386169696
chemical,30,17,0.492538173668966
chemical,31,17,0.560208230933072
chemical,32,17,0.661390514391725
chemical,33,17,0.789273808992444
chemical,34,17,0.932433571251409
chemical,35,17,1.07618862426047
chemical,36,17,1.20460856357193
chemical,37,17,1.30268404378898
chemical,38,17,1.3581078337454
chemical,0,18,0.145506367200968
chemical,1,18,0.16653468113171
chemical,2,18,0.187300974881593
chemical,3,18,0.203536935429208
chemical,4,18,0.212080639036831
chemical,5,18,0.211479152017685
chemical,6,18,0.202283993293952
chemical,7,18,0.186963671599967
chemical,8,18,0.169495134577484
chemical,9,18,0.154790571405849
chemical,10,18,0.148125987168669
chemical,11,18,0.154667299723862
chemical,12,18,0.179081844563303
chemical,13,18,0.225137354331731
chemical,14,18,0.295175319865004
chemical,15,18,0.389419307255057
chemical,16,18,0.50521907906835
chemical,17,18,0.636478507395712
chemical,18,18,0.773593414796065
chemical,19,18,0.904176324109485
chemical,20,18,1.01466169548246
chemical,21,18,1.09261419682832
chemical,22,18,1.12929222945116
chemical,23,18,1.12184272757849
chemical,24,18,1.07451190454537
chemical,25,18,0.99848377130911
chemical,26,18,0.910355408767324
chemical,27,18,0.829648872932759
chemical,28,18,0.77595246058738
chemical,29,18,0.766187790625404
chemical,30,18,0.812249247057311
chemical,31,18,0.919097729324571
chemical,32,18,1.08346512125671
chemical,33,18,1.29352447688787
chemical,34,18,1.52992942436994
chemical,35,18,1.76831902285136
chemical,36,18,1.98283573844594
chemical,37,18,2.14973411373666
chemical,38,18,2.25011669059908
chemical,0,19,0.101213879681479
chemical,1,19,0.117463659478617
chemical,2,19,0.13389501222212
chemical,3,19,0.147425304456846
chemical,4,19,0.155726655678074
chemical,5,19,0.157777035750784
chemical,6,19,0.154233767012625
chemical,7,19,0.147539491046859
chemical,8,19,0.14177233552192
chemical,9,19,0.142332964110543
chemical,10,19,0.155574354936124
chemical,11,19,0.188414776006317
chemical,12,19,0.2478653653853
chemical,13,19,0.340318558126659
chemical,14,19,0.470453146496269
chemical,15,19,0.639752948217907
chemical,16,19,0.844879689253855
chemical,17,19,1.07638589030623
chemical,18,19,1.31836426182901
chemical,19,19,1.54952335880759
chemical,20,19,1.74586313977607
chemical,21,19,1.88471058184879
chemical,22,19,1.94942986789152
chemical,23,19,1.93375124358013
chemical,24,19,1.84445140105349
chemical,25,19,1.70136928192532
chemical,26,19,1.53449273947141
chemical,27,19,1.37891820757222
chemical,28,19,1.26913809377956
chemical,29,19,1.23399904133758
chemical,30,19,1.2928982183128
chemical,31,19,1.45315529022908
chemical,32,19,1.70848174730264
chemical,33,19,2.03895383554163
chemical,34,19,2.41310280342076
chemical,35,19,2.79225277135667
chemical,36,19,3.13621490049586
chemical,37,19,3.40882799519218
chemical,38,19,3.58186188358638
chemical,0,20,0.087973018248307
chemical,1,20,0.105034795847539
chemical,2,20,0.122681514725189
chemical,3,20,0.137882365656444
chemical,4,20,0.148269441383363
chemical,5,20,0.152841480497898
chemical,6,20,0.152530703971264
chemical,7,20,0.150495042150897
chemical,8,20,0.152117940190035
chemical,9,20,0.164806278502703
chemical,10,20,0.197697723655399
chemical,11,20,0.261292826027347
chemical,12,20,0.366858294219247
chemical,13,20,0.525313051701024
chemical,14,20,0.745333997713949
chemical,15,20,1.03067848584111
chemical,16,20,1.37716644282365
chemical,17,20,1.77019986305369
chemical,18,20,2.18386624741851
chemical,19,20,2.58240539915073
chemical,20,20,2.92432255039773
chemical,21,20,3.16886339286509
chemical,22,20,3.28420963711175
chemical,23,20,3.255911503032
chemical,24,20,3.09323532112108
chemical,25,20,2.83041363885632
chemical,26,20,2.52136335033468
chemical,27,20,2.22907214355001
chemical,28,20,2.01366840061894
chemical,29,20,1.92288151097596
chemical,30,20,1.98648673552656
chemical,31,20,2.21372931312092
chemical,32,20,2.59251458528359
chemical,33,20,3.09039356317518
chemical,34,20,3.65844837372805
chemical,35,20,4.23820387931061
chemical,36,20,4.7700976716586
chemical,37,20,5.20080199111523
chemical,38,20,5.48830875188847
chemical,0,21,0.104728076875063
chemical,1,21,0.129052817009382
chemical,2,21,0.154503953045975
chemical,3,21,0.176826445340287
chemical,4,21,0.192547633443315
chemical,5,21,0.200111556377036
chemical,6,21,0.200831837486356
chemical,7,21,0.199412766113632
chemical,8,21,0.20399931195692
chemical,9,21,0.225920918794809
chemical,10,21,0.27934324789455
chemical,11,21,0.380871463438776
chemical,12,21,0.548828633716056
chemical,13,21,0.801657149852666
chemical,14,21,1.15490064117618
chemical,15,21,1.61668088573276
chemical,16,21,2.18240661149919
chemical,17,21,2.83026062054377
chemical,18,21,3.51928109549428
chemical,19,21,4.19132386969925
chemical,20,21,4.77686012373932
chemical,21,21,5.20444053491697
chemical,22,21,5.41335498874428
chemical,23,21,5.36987050784684
chemical,24,21,5.08231701039934
chemical,25,21,4.60826763665788
chemical,26,21,4.0452138635413
chemical,27,21,3.50773900202403
chemical,28,21,3.10041039694484
chemical,29,21,2.89965227262638
chemical,30,21,2.94720693738098
chemical,31,21,3.25146545147204
